outcome,spec,cohort_bin,n,n_treated,treated_share,ate,se_cluster_boot,ci_lo,ci_hi
y_afd_vote,spec_a_plus,born after 1990,616,133,0.216,-0.0217,0.0596,-0.1492,0.0893
y_afd_vote,spec_a_plus,1-5,269,97,0.361,0.0587,0.0652,-0.0693,0.1901
y_afd_vote,spec_a_plus,6-10,238,79,0.332,0.2798,0.127,0.0816,0.5911
y_afd_vote,spec_a_plus,11-15,227,89,0.392,0.0288,0.0687,-0.1089,0.1662
y_afd_vote,spec_a_plus,16-20,242,96,0.397,0.1461,0.0451,0.061,0.233
y_afd_vote,spec_a_plus,21-25,364,105,0.288,0.303,0.0965,0.1565,0.5256
y_afd_vote,spec_a_plus,26-30,386,136,0.352,0.1532,0.0477,0.056,0.2513
y_afd_vote,spec_a_plus,31-35,331,110,0.332,0.0977,0.0376,0.0203,0.1687
y_afd_vote,spec_a_plus,36-40,293,112,0.382,0.2042,0.1074,0.0255,0.4478
y_afd_vote,spec_a_plus,41-45,212,60,0.283,0.0491,0.0391,-0.034,0.1211
y_afd_vote,spec_a_plus,46-50,170,62,0.365,0.0127,0.0645,-0.1344,0.1134
y_afd_vote,spec_a_plus,51-55,119,59,0.496,-0.0705,0.0985,-0.2734,0.1247
y_afd_vote,spec_a_plus,56+,42,13,0.31,0.1238,0.1582,-0.0904,0.5301
y_afd_vote_all_valid,spec_a_plus,born after 1990,645,139,0.216,-0.0169,0.0577,-0.1303,0.089
y_afd_vote_all_valid,spec_a_plus,1-5,283,100,0.353,0.0417,0.0642,-0.0752,0.172
y_afd_vote_all_valid,spec_a_plus,6-10,260,87,0.335,0.3467,0.2158,0.0512,0.9007
y_afd_vote_all_valid,spec_a_plus,11-15,241,97,0.402,0.0478,0.0558,-0.0651,0.1553
y_afd_vote_all_valid,spec_a_plus,16-20,261,102,0.391,0.1438,0.0486,0.0566,0.2511
y_afd_vote_all_valid,spec_a_plus,21-25,385,113,0.294,0.2926,0.0775,0.1563,0.4665
y_afd_vote_all_valid,spec_a_plus,26-30,408,148,0.363,0.1519,0.0541,0.0455,0.2573
y_afd_vote_all_valid,spec_a_plus,31-35,349,120,0.344,0.0833,0.0323,0.0159,0.1438
y_afd_vote_all_valid,spec_a_plus,36-40,312,121,0.388,0.1639,0.0745,0.0475,0.328
y_afd_vote_all_valid,spec_a_plus,41-45,219,63,0.288,0.0449,0.0466,-0.0373,0.1398
y_afd_vote_all_valid,spec_a_plus,46-50,175,63,0.36,0.0304,0.0623,-0.0947,0.146
y_afd_vote_all_valid,spec_a_plus,51-55,122,60,0.492,-0.0774,0.1028,-0.2821,0.1245
y_afd_vote_all_valid,spec_a_plus,56+,46,13,0.283,0.107,0.1441,-0.1042,0.4479
